,Unnamed: 0.1,Unnamed: 0,year,titre,Oscar,BAFTA,DGA,PGA,SAG,GG,NotesTMDb,Runtime,imdb_id,imdbID,NotesIMDb,NotesRottenTomatoes,NotesMetacritic,nomination_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,Quarter
0,0,0,1927,Wings,True,False,False,False,False,False,7.2,144,tt0018578,tt0018578,7.6,94.0,84.4921630094044,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3.0
1,1,1,1927,7th Heaven,False,False,False,False,False,False,7.3,110,tt0018379,tt0018379,7.6,100.0,84.4921630094044,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
2,2,2,1927,The Racket,False,False,False,False,False,False,6.5,84,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
3,3,3,1928,The Broadway Melody,True,False,False,False,False,False,5.2,101,Not Found,,7.86953125,89.59509803921569,84.4921630094044,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4,4,4,1928,Alibi,False,False,False,False,False,False,5.0,86,tt0019031,,7.86953125,89.59509803921569,84.4921630094044,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5,5,5,1928,Hollywood Revue,False,False,False,False,False,False,5.6,115,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
6,6,6,1928,In Old Arizona,False,False,False,False,False,False,5.0,95,tt0020018,tt0020018,5.5,56.0,84.4921630094044,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0
7,7,7,1928,The Patriot,False,False,False,False,False,False,7.175,165,tt0019257,tt0019257,7.86953125,100.0,84.4921630094044,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
8,8,8,1929,All Quiet on the Western Front,True,False,False,False,False,False,7.7,147,Not Found,,7.86953125,89.59509803921569,84.4921630094044,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
9,9,9,1929,The Big House,False,False,False,False,False,False,6.6,87,Not Found,,7.86953125,89.59509803921569,84.4921630094044,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
10,10,10,1929,Disraeli,False,False,False,False,False,False,5.2,90,tt0019823,tt0019823,6.1,89.59509803921569,84.4921630094044,3.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.0
11,11,11,1929,The Divorcee,False,False,False,False,False,False,6.2,83,Not Found,,7.86953125,89.59509803921569,84.4921630094044,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
12,12,12,1929,The Love Parade,False,False,False,False,False,False,6.4,107,tt0020112,tt0020112,7.0,100.0,84.4921630094044,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
13,13,13,1930,Cimarron (1931 film),True,False,False,False,False,False,Non Disponible,Non Disponible,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14,14,1930,East Lynne (1931 film),False,False,False,False,False,False,Non Disponible,Non Disponible,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,15,15,1930,The Front Page (1931 film),False,False,False,False,False,False,Non Disponible,Non Disponible,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,16,16,1930,Skippy (film),False,False,False,False,False,False,Non Disponible,Non Disponible,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,17,17,1930,Trader Horn (1931 film),False,False,False,False,False,False,Non Disponible,Non Disponible,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,18,18,1931,Grand Hotel (1932 film),True,False,False,False,False,False,Non Disponible,Non Disponible,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,19,19,1931,Arrowsmith (film),False,False,False,False,False,False,Non Disponible,Non Disponible,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,20,20,1931,Bad Girl (1931 film),False,False,False,False,False,False,Non Disponible,Non Disponible,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,21,21,1931,The Champ (1931 film),False,False,False,False,False,False,Non Disponible,Non Disponible,Not Found,,7.86953125,89.59509803921569,84.4921630094044,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
